lizard_ID,Spp,trial_date,tube_number,initial_temp,mass,CT_max,notes,trt
LD021_20,delicata,9/3/21,1,25,0.602,44.2,,A-23
LD027_20,delicata,9/3/21,2,25,0.398,45,,C-23
LD046_20,delicata,9/3/21,1,30,0.315,45.3,,A-28
LD047_20,delicata,13/3/21,2,30,,,,
LD050_20,delicata,13/3/21,1,30,0.37,46,,A-23
LD061_20,delicata,13/3/21,1,25,0.542,43.8,,A-28
LD064_20,delicata,13/3/21,2,25,0.441,44.2,,C-28
LD065_20,delicata,16/3/21,2,30,0.528,,,
LD074_20,delicata,16/3/21,4,30,0.305,47.7,,A-23
LD157_20,delicata,9/3/21,2,30,0.367,43.2,,C-28
LD162_20,delicata,7/4/21,1,25,0.441,43.3,,A-23
LD181_20,delicata,7/4/21,3,25,0.393,44.5,,C-23
LD181_20,delicata,20/4/21,3,30,0.485,47.1,,C-23
LD183_20,delicata,16/3/21,3,30,0.482,41.6,,A-28
LD191_20,delicata,7/4/21,2,25,0.559,46.5,,A-28
LD192_20,delicata,16/3/21,1,30,0.336,,shedding,C-28
LD193_20,delicata,23/4/21,2,30,0.983,48.4,,C-23
LD204_20,delicata,7/4/21,4,25,0.439,46.2,,C-28
LD209_20,delicata,22/4/21,1,30,0.427,46.6,,C-23
LD228_20,delicata,20/4/21,2,30,0.454,46.1,,C-28
LD241_20,delicata,23/4/21,3,30,0.488,48.2,,A-23
LD242_20,delicata,20/4/21,3,30,0.658,45.7,,A-28
LD257_20,delicata,22/4/21,3,28,0.462,47.5,,A-23
LD263_20,delicata,23/4/21,2,30,0.81,47.5,,C-28
LD264_20,delicata,23/4/21,4,30,0.547,47.9,,A-28
LD269_20,delicata,21/4/21,1,30,0.523,47,,C-23
LD290_20,delicata,22/4/21,1,28,0.636,46.7,,C-28
LD292_20,delicata,21/4/21,1,30,0.458,47.6,,A-23
LD332_20,delicata,21/4/21,2,30,0.414,47.6,,C-28
LD361_20,delicata,22/4/21,4,28,0.507,45,,A-28
LD374_20,delicata,21/4/21,3,30,0.371,49.6,a bit of water in tube,A-28
LG028_20,guichenoti ,9/3/21,3,30,0.473,45.8,,A-23
LG029_20,guichenoti ,9/3/21,4,30,0.391,44.3,,C-23
LG032_20,guichenoti ,13/3/21,4,30,0.459,46.4,,C-23
LG053_20,guichenoti ,13/3/21,3,30,0.388,43.3,,A-23
LG055_20,guichenoti ,9/3/21,4,25,0.495,44.6,,C-28
LG067_20,guichenoti ,9/3/21,3,25,0.498,40.4,,A-28
LG068_20,guichenoti ,16/3/21,1,30,0.562,45.1,**photo is labelled as LG135 and vice versa,C-28
LG088_20,guichenoti ,16/3/21,3,30,0.392,,,
LG097_20,guichenoti ,13/3/21,3,25,0.435,44.7,,A-28
LG101_20,guichenoti ,13/3/21,4,25,0.478,44.8,,C-28
LG102_20,guichenoti ,7/4/21,3,25,0.438,44.5,,C-23
LG111_20,guichenoti ,7/4/21,1,25,0.452,47.4,,A-23
LG111_20,guichenoti ,20/4/21,2,30,0.442,48.7,,A-23
LG118_20,guichenoti ,20/4/21,1,30,0.445,47.1,,C-23
LG119_20,guichenoti ,16/3/21,4,30,0.527,,,
LG121_20,guichenoti ,23/4/21,4,30,0.617,48.7,,A-23
LG135_20,guichenoti ,16/3/21,2,30,0.498,47.3,,C-28
LG139_20,guichenoti ,22/4/21,2,30,0.685,47.4,,C-28
LG142_20,guichenoti ,22/4/21,4,30,0.35,48,,A-23
LG145_20,guichenoti ,7/4/21,4,25,0.485,46.6,,C-28
LG150_20,guichenoti ,23/4/21,1,30,0.559,48.4,,C-23
LG160_20,guichenoti ,21/4/21,,,0.341,,not tested due to shedding,
LG212_20,guichenoti ,20/4/21,4,30,0.669,46.3,,C-28
LG212_20,guichenoti ,23/4/21,3,30,0.677,48.9,,C-28
LG220_20,guichenoti ,7/4/21,2,25,0.557,44.5,,A-28
LG220_20,guichenoti ,20/4/21,1,30,0.566,46.4,,A-28
LG230_20,guichenoti ,22/4/21,2,28,0.435,46.1,,C-23
LG247_20,guichenoti ,21/4/21,3,30,0.437,47.6,,C-23
LG275_20,guichenoti ,21/4/21,4,30,0.647,47.7,,C-28
LG296_20,guichenoti ,23/4/21,1,30,0.594,48.3,,A-28
LG315_20,guichenoti ,22/4/21,3,30,0.491,47.6,,A-28
LG324_20,guichenoti ,21/4/21,2,30,0.548,47.2,,A-28